seq,is_zvw,instant_quiet,qw,qx,qy,qz,pos_x,pos_y,pos_z
272988.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
272989.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
272990.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
272991.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
272992.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
272993.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
272994.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
272995.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
272996.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
272997.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
272998.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
272999.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
273000.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
273001.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
273002.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
273003.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
273004.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
273005.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
273006.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
273007.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
273008.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
273009.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
273010.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
273011.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
273012.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
273013.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
273014.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
273015.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
273016.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
273017.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
273018.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
273019.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
273020.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
273021.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
273022.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
273023.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
273024.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
273025.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
