seq,is_zvw,instant_quiet,qw,qx,qy,qz,pos_x,pos_y,pos_z
10,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
18,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
19,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
21,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
23,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
24,0,1,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
25,0,1,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
26,0,1,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
27,0,1,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
28,0,1,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
29,0,1,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
30,0,1,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
31,0,1,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
32,0,1,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
33,0,1,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
34,0,1,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
35,0,1,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
36,0,1,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
